transaction_id,product_name,amount,decision,transaction_date,customer_id,region,updated_at
TXN-1001,Apple Cash,249.99,APPROVE,2026-07-01,CUST-501,US,2026-07-01 08:15:00
TXN-1002,App Store,9.99,APPROVE,2026-07-01,CUST-502,US,2026-07-01 09:08:00
TXN-1003,Apple Cash,1150.00,APPROVE,2026-07-01,CUST-503,US,2026-07-01 10:25:00
TXN-1004,Apple TV+,14.99,APPROVE,2026-07-02,CUST-504,US,2026-07-02 07:48:00
TXN-1005,Apple Music,10.99,APPROVE,2026-07-02,CUST-505,US,2026-07-02 08:33:00
TXN-1007,Apple Cash,500.00,APPROVE,2026-07-03,CUST-507,US,2026-07-03 07:58:00
TXN-1008,App Store,4.99,APPROVE,2026-07-03,CUST-508,US,2026-07-03 08:22:00
TXN-1009,Apple Arcade,6.99,APPROVE,2026-07-03,CUST-509,US,2026-07-03 09:48:00
TXN-1011,Apple Music,10.99,APPROVE,2026-07-04,CUST-511,US,2026-07-04 08:18:00
TXN-1012,iCloud+,9.99,APPROVE,2026-07-04,CUST-512,US,2026-07-04 09:03:00
TXN-1013,Apple TV+,14.99,DECLINE,2026-07-05,CUST-513,US,2026-07-05 07:43:00
TXN-1014,App Store,2.99,APPROVE,2026-07-05,CUST-514,US,2026-07-05 08:58:00
TXN-1015,Apple Cash,750.00,APPROVE,2026-07-05,CUST-515,US,2026-07-05 10:13:00
TXN-1016,Apple Arcade,4.99,APPROVE,2026-07-06,CUST-516,US,2026-07-06 07:28:00
TXN-1017,Apple Cash,125.00,APPROVE,2026-07-06,CUST-517,US,2026-07-06 08:43:00
TXN-1018,App Store,19.99,APPROVE,2026-07-06,CUST-518,US,2026-07-06 09:18:00
TXN-1019,iCloud+,2.99,APPROVE,2026-07-07,CUST-519,US,2026-07-07 07:53:00
TXN-1021,Apple Cash,899.99,APPROVE,2026-07-07,CUST-521,US,2026-07-07 09:23:00
TXN-1022,App Store,0.99,APPROVE,2026-07-08,CUST-522,US,2026-07-08 07:38:00
TXN-1023,Apple TV+,14.99,APPROVE,2026-07-08,CUST-523,US,2026-07-08 08:48:00
TXN-1025,iCloud+,2.99,APPROVE,2026-07-09,CUST-525,US,2026-07-09 07:23:00
TXN-1026,Apple Arcade,6.99,APPROVE,2026-07-09,CUST-526,US,2026-07-09 08:13:00
TXN-1027,Apple Music,10.99,APPROVE,2026-07-09,CUST-527,US,2026-07-09 09:33:00
TXN-1028,Apple Cash,475.00,APPROVE,2026-07-10,CUST-528,US,2026-07-10 07:48:00
TXN-1029,App Store,7.99,APPROVE,2026-07-10,CUST-529,US,2026-07-10 08:58:00
TXN-1030,Apple TV+,14.99,APPROVE,2026-07-10,CUST-530,US,2026-07-10 10:08:00
TXN-1031,Apple Cash,320.00,APPROVE,2026-07-10,CUST-531,US,2026-07-10 11:00:00
TXN-1032,App Store,14.99,APPROVE,2026-07-10,CUST-532,US,2026-07-10 12:15:00
