transaction_id,product_name,amount,decision,transaction_date,customer_id,region,updated_at
TXN-1001,Apple Cash,249.99,APPROVE,2026-07-01,CUST-501,US,2026-07-01 08:12:03
TXN-1002,App Store,9.99,APPROVE,2026-07-01,CUST-502,US,2026-07-01 09:05:44
TXN-1003,Apple Cash,1200.00,APPROVE,2026-07-01,CUST-503,US,2026-07-01 10:22:11
TXN-1004,Apple TV+,14.99,APPROVE,2026-07-02,CUST-504,US,2026-07-02 07:45:00
TXN-1005,Apple Music,10.99,APPROVE,2026-07-02,CUST-505,US,2026-07-02 08:30:22
TXN-1006,iCloud+,2.99,APPROVE,2026-07-02,CUST-506,US,2026-07-02 09:10:15
TXN-1007,Apple Cash,500.00,DECLINE,2026-07-03,CUST-507,US,2026-07-03 07:55:30
TXN-1008,App Store,4.99,APPROVE,2026-07-03,CUST-508,US,2026-07-03 08:20:00
TXN-1009,Apple Arcade,6.99,APPROVE,2026-07-03,CUST-509,US,2026-07-03 09:45:12
TXN-1010,Apple Cash,3500.00,DECLINE,2026-07-04,CUST-510,US,2026-07-04 07:30:00
TXN-1011,Apple Music,10.99,APPROVE,2026-07-04,CUST-511,US,2026-07-04 08:15:33
TXN-1012,iCloud+,9.99,APPROVE,2026-07-04,CUST-512,US,2026-07-04 09:00:45
TXN-1013,Apple TV+,14.99,APPROVE,2026-07-05,CUST-513,US,2026-07-05 07:40:22
TXN-1014,App Store,2.99,APPROVE,2026-07-05,CUST-514,US,2026-07-05 08:55:11
TXN-1015,Apple Cash,750.00,APPROVE,2026-07-05,CUST-515,US,2026-07-05 10:10:00
TXN-1016,Apple Arcade,4.99,APPROVE,2026-07-06,CUST-516,US,2026-07-06 07:25:44
TXN-1017,Apple Cash,125.00,APPROVE,2026-07-06,CUST-517,US,2026-07-06 08:40:22
TXN-1018,App Store,19.99,APPROVE,2026-07-06,CUST-518,US,2026-07-06 09:15:00
TXN-1019,iCloud+,2.99,APPROVE,2026-07-07,CUST-519,US,2026-07-07 07:50:33
TXN-1020,Apple Music,10.99,DECLINE,2026-07-07,CUST-520,US,2026-07-07 08:30:00
TXN-1021,Apple Cash,899.99,APPROVE,2026-07-07,CUST-521,US,2026-07-07 09:20:15
TXN-1022,App Store,0.99,APPROVE,2026-07-08,CUST-522,US,2026-07-08 07:35:00
TXN-1023,Apple TV+,14.99,APPROVE,2026-07-08,CUST-523,US,2026-07-08 08:45:22
TXN-1024,Apple Cash,2200.00,DECLINE,2026-07-08,CUST-524,US,2026-07-08 09:55:11
TXN-1025,iCloud+,2.99,APPROVE,2026-07-09,CUST-525,US,2026-07-09 07:20:00
TXN-1026,Apple Arcade,6.99,APPROVE,2026-07-09,CUST-526,US,2026-07-09 08:10:44
TXN-1027,Apple Music,10.99,APPROVE,2026-07-09,CUST-527,US,2026-07-09 09:30:22
TXN-1028,Apple Cash,450.00,APPROVE,2026-07-10,CUST-528,US,2026-07-10 07:45:00
TXN-1029,App Store,7.99,APPROVE,2026-07-10,CUST-529,US,2026-07-10 08:55:33
TXN-1030,Apple TV+,14.99,APPROVE,2026-07-10,CUST-530,US,2026-07-10 10:05:00
